state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
SD  ,PPm,PPAm,PPAm;0,SDPPAm;0,0,,Minnelusa Formation,Phanerozoic | Paleozoic | Carboniferous Pennsylvanian Permian,"Variegated, yellow to red, gray to brown, pink to purple, and black, interbedded sandstone, siltstone, shale, limestone, dolomite, calcarenite, chert and brecciated beds. Thickness 394-1,175 ft (120-358 m).",,,SD001,sandstone,siltstone,shale; limestone; dolostone (dolomite); chert,SD001 ,
SD  ,Qal,Qal,Qal;0,SDQal;0,0,,Alluvium,Phanerozoic | Cenozoic | Quaternary,Clay to boulder-size clasts with locally abundant organic material. Thickness up to 75 ft (23m).,,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qc,Qc,Qc;0,SDQc;0,0,,Colluvium,Phanerozoic | Cenozoic | Quaternary,Clay to boulder-size clasts forming rubble residuum and talus. Thickness up to 30 ft (9m).,,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qe,Qe,Qe;0,SDQe;0,0,,Eolian Deposits,Phanerozoic | Cenozoic | Quaternary,"(loess and sand dune) Silt to medium-grained sand. Deposited as sand sheets and barchan, linear, and dome-like dunes and as veneer on uplands. Thickness up to 300 ft (91m).",,,SD001,silt,sand,,SD001 ,
SD  ,Qit,Qit,Qit;0,SDQit;0,0,,"Till, Ground Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Illinoian(?)],"Heterogeneous, clay with silt to boulder-size clasts. Exhibits a distinctive weathered, dissected surface. Contains prominent oxidized joints and fractures with gypsum or calcite. Typically overlain by up to 25 ft (8 m) of loess. Thickness up to 120 ft (37 m).",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qj,Qj,Qj;0,SDQj;0,0,,Java Formation,Phanerozoic | Cenozoic | Quaternary | Pleistocene-Early,Sand to gravel of fluvial orgin. Upper portion is tan to reddish-brown eolian silt with minor clay and fine-grained sand. Thickness up to 180 ft (55 m).,,,SD001,sand,gravel,silt; clay or mud,SD001 ,
SD  ,Ql,Ql,Ql;0,SDQl;0,0,,Landslide Deposits,Phanerozoic | Cenozoic | Quaternary,"Landslide, slump, and collapsed material composed of chaotically mixed boulders and finer grained rock debris. Thickness up to 180 ft (55m).",,,SD001,sand,gravel,,SD001 ,
SD  ,Qll,Qll,Qll;0,SDQll;0,0,,Lacustrine Sediments,Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Glaciolacustrine clay and silt with minor sand and gravel. Forms flat, low-lying terrain. Includes deposits from Glacial Lake Dakota and Glacial Lake Agassiz. Thickness up to 60 ft (18m).",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qlli,Qlli,Qlli;0,SDQlli;0,0,,"Lacustrine Sediments, Ice-walled",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],Glaciolacustrine clay and silt with minor sand and gravel. Forms elevated level terrain. Thickness up to 60 ft (18m).,,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qlo,Qlo,Qlo;0,SDQlo;0,0,,"Outwash, Undifferentiated",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous sand and gravel, with minor clay and silt. Deposits of glaciofluvial orgin including outwash plains, kame terraces, and other undifferentiated deposits. Thickness up to 30 ft (9m).",,,SD001,sand,gravel,clay or mud; silt,SD001 ,
SD  ,Qloc,Qloc,Qloc;0,SDQloc;0,0,,"Outwash, Collapsed",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],Heterogeneous sand and gravel of glaciofluvial orgin. Deposited as outwash sediments that collapsed due to melting of buried ice. Thickness up to 90 ft (27m). ,,,SD001,sand,gravel,,SD001 ,
SD  ,Qlod,Qlod,Qlod;0,SDQlod;0,0,,"Outwash, Delta",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],Heterogeneous sand and gravel of glaciofluvial orgin. Typically forms level terrain at the mouths of meltwater streams which flowed into Glacial Lake Dakota. Thickness up to 30 ft (9m).,,,SD001,sand,gravel,,SD001 ,
SD  ,Qloi,Qloi,Qloi;0,SDQloi;0,0,,"Outwash, Ice-walled",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous sand and gravel of glaciofluvial orgin. Typically forms elevated, level terrain. Thickness up to 90 ft (27m).",,,SD001,sand,gravel,,SD001 ,
SD  ,Qlov,Qlov,Qlov;0,SDQlov;0,0,,"Outwash, Valley Train",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],Heterogeneous silt to gravel. Confined to valleys of glaciofluvial orgin. Thickness up to 60 ft (18m).,,,SD001,silt,sand,gravel,SD001 ,
SD  ,Qlt,Qlt,Qlt;0,SDQlt;0,0,,"Till, Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous, clay with silt to boulder-size clasts of glacial orgin. Exhibits a distinctive weathered, dissected surface.Typically overlain by up to 10 ft (3m) of loess. Thickness up to 150 ft (46 m).",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qlte,Qlte,Qlte;0,SDQlte;0,0,,"Till, End Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous, clay with silt to boulder-size clasts of glacial orgin. A geomorphic feature that is characterized by elevated linear ridges with hummocky terrain locally at former ice sheet margins. Composite thicknessof all Upper Wisconsin till may be up to 300 ft (91 m). ",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qltg,Qltg,Qltg;0,SDQltg;0,0,,"Till, Ground Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous, clay with silt to boulder-size clasts of glacial orgin. A geomorphic feature that is characterized by smooth, rolling terrain. Composite thickness of all Upper Wisconsin till may be up to 300 ft (91 m).",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qltm,Qltm,Qltm;0,SDQltm;0,0,,"Till, Minor Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous, clay with silt to boulder-size clasts of glacial orgin. A geomorphic feature that is characterized by elevated linear ridges including minor, washboard, or recessional moraines. Composite thicknessof all Upper Wisconsin till may be up to 300 ft (91 m). ",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Qlts,Qlts,Qlts;0,SDQlts;0,0,,"Till, Stagnation Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],"Heterogeneous, clay with silt to boulder-size clasts of glacial orgin. A geomorphic feature that is characterized by hummocky terrain with abundant sloughs resulting from stagnation of ice sheets. Composite thickness of all Upper Wisconsin till may be up to 300 ft (91 m). ",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,H2O,water,water;0,SDwater;0,0,,water,None,,,,SD001,water,,,SD001 ,
SD  ,Qpit,Qpit,Qpit;0,SDQpit;0,0,,"Clayely Till, Ground Moraine",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Pre-Illinoian],"Heterogeneous, clay to boulder-size clasts of glacial orgin. Exhibits a distinctive weathered, dissected surface. Contains prominent oxidized joints and fractures with gypsum or calcite. Typically overlain by up to 45 ft (14 m) of loess. Thickness of uppermost Pre-Illinoian till may be up to 120 ft (37 m). Composite thickness of all Pre-Illinoian till may be up to 1,000 ft (305 m).",,,SD001,clay or mud,silt,sand; gravel,SD001 ,
