state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
SD  ,Tw,Tw,Tw;0,SDTw;0,0,,White River Group,Phanerozoic | Cenozoic | Tertiary | Eocene Oligocene,"Includes: Brule Formation (Oligocene)- White, pink, light-green, and light-brown, massive to thin-bedded, bentonitic claystone, tuffaceous siltstone, and well-bedded, calcareous, tuffaceous quartz sandstone. Thickness up to 150 ft (46 m). Chadron Formation (Eocene)- Upper beds are gray, light-brown to maroon bentonite, claystone, siltstone tuffaceous fine-grained sandstone, and local, silicified carbonate lenses. Basal portion consists of poorly cemented, white, coarse-grained arkose and conglomerate. Thickness up to 160 ft (49 m). Chamberlain Pass Formation (Eocene)- Pale olive to pale red, mottled mudstone containing white, cross-bedded channel sandstone with basal conglomerate. Thickness up to 32 ft (10 m). Slim Buttes Formation (Eocene)- White, grayish- to yellowish-orange,pale-red to pink siltstone, clayey siltstone, bentonitic claystone,medium- to fine-grained sandstone, and conglomerate. Thickness up to 48 ft (15 m).",,,SD001,claystone,siltstone,clay or mud; sandstone; mudstone; conglomerate,SD001 ,
SD  ,Xb1,Xb1,Xb1;0,SDXb1;0,0,,Metabasalt,Proterozoic | Paleoproterozoic,"Dark-green amphibolite, actinolite schist, and greenstone. Interflow units consists of graphitic schist, chert, and carbonate- and silicate-facies iron-formation. Thickness of individual flows 50-400 ft (244-1,524 m).",,,SD001,amphibolite,schist,greenstone; chert; iron formation,SD001 ,
SD  ,Xb2,Xb2,Xb2;0,SDXb2;0,0,,Metabasalt,Proterozoic | Paleoproterozoic,"Alkalic basalt, greenstone, and actinolite schist. Includes metamorphosed volcanoclastic rocks and iron-rich schist.",,,SD001,basalt,greenschist,,SD001 ,
SD  ,Xbs,Xbs,Xbs;0,SDXbs;0,0,,Metamorphosed Black Shale,Proterozoic | Paleoproterozoic,"Dark-gray biotite schist, biotite-muscovite schist, pyritic biotite schist, and local massive chert beds. Thickness approximately 2000-4000 ft (610-1,219 m).",,,SD001,schist,chert,,SD001 ,
SD  ,Xc,Xc,Xc;0,SDXc;0,0,,Metaconglomerate,Proterozoic | Paleoproterozoic,"Tan to light-gray, conglomeratic siliceous schist, feldspathic schist, and minor marble. Thickness locally over 6,000 ft (1,829 m).",,,SD001,schist,marble,,SD001 ,
SD  ,Xcg,Xcg,Xcg;0,SDXcg;0,0,,Metamorphosed Conglomerate,Proterozoic | Paleoproterozoic,"Gray to grayish-brown, conglomeratic biotite phyllite, siliceous biotite phyllite, mica schist, quartzite, and iron-formation. Thickness up to 2,000 ft (610 m).",,,SD001,phyllite,schist,quartzite; iron formation,SD001 ,
SD  ,Xcq,Xcq,Xcq;0,SDXcq;0,0,,Metaconglomerate and Metaquartzite,Proterozoic | Paleoproterozoic,"Light-gray to gray, conglomeratic and feldspathic schist, biotite schist, taconite, and phyllite. Individual conglomerate and fanglomerate tongues from 100-500 ft (30-152 m) thick. Total thickness over 10,000 ft (3,048 m).",,,SD001,schist,iron formation,phyllite,SD001 ,
SD  ,Xd,Xd,Xd;0,SDXd;0,0,,Metamorphosed Dolomite,Proterozoic | Paleoproterozoic,"Light-gray to light-tan marble, phyllite, and calcareous phyllite. Thickness 60-300 ft (18-91 m).",,,SD001,marble,phyllite,,SD001 ,
SD  ,Xgw,Xgw,Xgw;0,SDXgw;0,0,,Metagraywacke,Proterozoic | Paleoproterozoic,"Light- to dark-gray, silceous mica schist and impure quartzite. Differentiated where possible into three primary tongues or lenses. (Xgw1, Xgw2, and Xgw3) Thickness from 1,000 ft to over 5,000 ft (305-1,524 m).",,,SD001,schist,quartzite,,SD001 ,
SD  ,Xgw1,Xgw1,Xgw1;0,SDXgw1;0,0,,Metagraywacke Unit 1,Proterozoic | Paleoproterozoic,"Lower Xgw- Light- to dark-gray, silceous mica schist and impure quartzite. ",,,SD001,schist,quartzite,,SD001 ,
