unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
SDKfl;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDKfl;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDKfl;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDJms;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDJms;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDJms;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDJms;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDJms;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed ,
SDJms;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDJms;0,Minor,Sedimentary,Chemical,Evaporite,Gypsum,,Gypsum,Bed ,
SDTRPs;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed ,
SDTRPs;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDTRPs;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDTRPs;0,Major,Sedimentary,Chemical,Evaporite,Gypsum,,Gypsum,Bed ,
SDTRPs;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDPmo;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDPmo;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDPmo;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed ,
SDPmo;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDPPAm;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDPPAm;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDPPAm;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed ,
SDPPAm;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDPPAm;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed ,
SDPPAm;0,Major,Sedimentary,Chemical,Chert,,,Chert,Bed ,
SDMCApd;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDMCApd;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDMCApd;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed ,
SDMCApd;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed ,
SDMCApd;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDMDpe;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDOCAwd;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDOCAwd;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Bed ,
SDOCAwd;0,Major,Sedimentary,Carbonate,Limestone,,,Limestone,Bed ,
SDOCAwd;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed ,
SDOCAwd;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDXs;0,Major,Sedimentary,Quartzite,,,,Quartzite,Bed ,
SDXs;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDXs;0,Minor,Sedimentary,Clastic,Mudstone,,,Mudstone,Bed ,
SDXh;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,Batholith ,
SDXsh;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite, ,
SDXsh;0,Major,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate, ,
SDXsh;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXgw;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXgw;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite, ,
SDXgw3;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXgw3;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite, ,
SDXgw2;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXgw2;0,"Indeterminate, major",Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite, ,
SDXgw1;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXgw1;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite, ,
SDXgwu;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXgwu;0,Major,Metamorphic,Metasedimentary,Metaclastic,Metaconglomerate,,Metaconglomerate, ,
SDXgwu;0,Major,Metamorphic,Gneiss,,,,Gneiss, ,
SDXgwl;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXms;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXms;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite, ,
SDXbs;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXbs;0,Minor,Sedimentary,Chemical,Chert,,,Chert,Bed ,
SDXsc2;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite, ,
SDXsc2;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXcg;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite, ,
SDXcg;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXcg;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite, ,
SDXcg;0,Major,Sedimentary,Chemical,Banded-iron-formation,,,Banded-iron-formation,Bed ,
SDXsi;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite, ,
SDXsi;0,Major,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate, ,
SDXsi;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXsi;0,Minor,Sedimentary,Chemical,Chert,,,Chert,Bed ,
SDXsi;0,Minor,Metamorphic,Amphibolite,,,,Amphibolite, ,
SDXsi;0,Minor,Igneous,Plutonic,Gabbroic,Gabbro,,Gabbro,Dike or sill ,
SDXmg;0,Major,Metamorphic,Amphibolite,,,,Amphibolite, ,
SDXmg;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXmg;0,Major,Metamorphic,Metaigneous,Greenstone,,,Greenstone, ,
SDXmg;0,Major,Metamorphic,Metaigneous,Serpentinite,,,Serpentinite, ,
SDXb1;0,Major,Metamorphic,Amphibolite,,,,Amphibolite, ,
SDXb1;0,Major,Metamorphic,Schist,,,,Schist, ,
SDXb1;0,Major,Metamorphic,Metaigneous,Greenstone,,,Greenstone, ,
SDXb1;0,Minor,Sedimentary,Chemical,Chert,,,Chert, ,
SDXb1;0,Minor,Sedimentary,Chemical,Banded-iron-formation,,,Banded-iron-formation,Bed ,
SDKfl;0,Minor,Sedimentary,Coal,,,,Coal,Bed ,
SDTll;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
SDTc;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed, 
SDMDpe;0,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,Bed ,
SDQloi;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,"Glacial, outwash ",
SDQlod;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,"Glacial, outwash ",
SDQltg;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,"Glacial, till ",
SDQlli;0,Minor,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Lacustrine ,
SDQal;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Alluvial, 
SDQal;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,Alluvial, 
SDQal;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Alluvial, 
SDQal;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Alluvial, 
SDQal;0,Major,Unconsolidated,Coarse-detrital,Boulders,,,Boulders,Alluvial, 
SDQc;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Colluvial, 
