longitude,latitude,distance_km,post-Ogallala,Ogallala Group,pre-Ogallala,Hell Creek Formation,Fox Hills Formation,Pierre Shale,Niobrara Formation,Carlile Shale,Greenhorn Limestone,Belle Fourche Shale,Mowry Shale,Skull Creek Shale,Inyan Kara Group,Morrison Formation,Sundance Formation,Spearfish Formation,Minnekahta Formation,Minnelusa Formation,Madison Group,Three Forks Shale,Stony Mountain Formation,Red River Formation,Deadwood Formation,Precambrian basement,Tertiary intrusive
-103.45,43.15,0.0,,,,,,1129.4942626953125,940.596435546875,833.0409545898438,695.3806762695312,674.9964599609375,554.8284301757812,487.59130859375,415.1285400390625,361.8009033203125,233.13015747070312,121.13414001464844,42.48295974731445,2.7133915424346924,-128.568115234375,,,,-209.93482971191406,-253.2031707763672,
-103.44619238476955,43.15,0.30972031155735397,,,,,,1127.9661865234375,940.8998413085938,833.7841186523438,696.5377807617188,676.9639892578125,556.8222045898438,487.299072265625,414.8518371582031,362.6867370605469,233.73550415039062,122.34064483642578,43.147857666015625,2.7088403701782227,-131.86395263671875,,,,-216.52415466308594,-259.85638427734375,
-103.44238476953907,43.15,0.6194406231147079,,,,,,1123.34912109375,938.3259887695312,833.5205688476562,698.6036376953125,680.8688354492188,560.7088623046875,486.5182800292969,414.49432373046875,364.1955261230469,234.0772705078125,124.79479217529297,44.37407302856445,2.4874064922332764,-138.5184783935547,,,,-219.8399658203125,-263.1046142578125,
-103.43857715430862,43.15,0.929160934672062,,,,,,1121.5504150390625,936.382568359375,832.9719848632812,699.4269409179688,682.7159423828125,562.5597534179688,486.07037353515625,413.6592712402344,364.8545837402344,234.43292236328125,126.01326751708984,44.96607208251953,2.311239719390869,-141.87413024902344,,,,-223.173095703125,-266.2996520996094,
-103.43476953907816,43.15,1.2388812462294159,,,,,,1123.165771484375,934.3524780273438,832.3548583984375,700.203857421875,684.4923706054688,564.3724365234375,485.6139831542969,413.2074890136719,365.46697998046875,234.7816925048828,127.23336791992188,45.56852722167969,2.10686993598938,-145.24183654785156,,,,-226.51190185546875,-269.43609619140625,
-103.4309619238477,43.15,1.54860155778677,,,,,,1124.82373046875,932.010986328125,831.526611328125,701.4249877929688,686.2162475585938,566.1134033203125,485.1064453125,412.7013854980469,366.00274658203125,235.15196228027344,128.4554901123047,46.15315628051758,1.8599302768707275,-148.6101837158203,,,,-229.84800720214844,-272.50921630859375,
-103.42715430861723,43.15,1.858321869344124,,,,,,1121.531005859375,926.7071533203125,829.3954467773438,704.5816040039062,689.5582275390625,569.459716796875,483.9318542480469,412.131591796875,366.8253479003906,235.9630584716797,129.6838836669922,47.264617919921875,1.2392431497573853,-155.30743408203125,,,,-236.4606475830078,-278.4179382324219,
-103.42334669338678,43.15,2.168042180901478,,,,,,1123.0894775390625,924.0685424804688,828.34521484375,706.1858520507812,691.156494140625,571.0579223632812,483.3104248046875,410.898193359375,367.15081787109375,236.3893585205078,132.16407775878906,47.819679260253906,0.897146463394165,-158.6380615234375,,,,-239.73805236816406,-281.2448425292969,
-103.41953907815632,43.15,2.4777624924588317,,,,,,1119.58447265625,921.6657104492188,827.4999389648438,707.7879638671875,692.7493286132812,572.64697265625,482.7087707519531,410.270263671875,367.44000244140625,236.80809020996094,133.40142822265625,48.39720153808594,0.5519704222679138,-161.9476776123047,,,,-242.98922729492188,-283.9892883300781,
-103.41573146292585,43.15,2.787482804016186,,,,,,1116.281982421875,919.3839721679688,826.7833862304688,709.4171752929688,694.364501953125,574.2540283203125,482.1142578125,409.62567138671875,367.6616516113281,237.26101684570312,134.64418029785156,48.96830368041992,0.18317048251628876,-165.2301025390625,,,,-246.2046356201172,-286.6488037109375,
-103.41192384769539,43.15,3.09720311557354,,,,,,1116.1029052734375,911.0402221679688,818.8406982421875,703.6412353515625,688.6060180664062,568.5291137695312,475.8504638671875,403.49176025390625,362.6531677246094,232.78704833984375,130.262939453125,44.22175216674805,-5.5171308517456055,-171.89820861816406,,,,-255.2868194580078,-292.7701721191406,
-103.40811623246493,43.15,3.4069234271308937,,,,,,1117.6048583984375,909.5940551757812,820.1757202148438,708.2235717773438,693.20703125,573.14990234375,476.3890686035156,403.7498779296875,363.1361389160156,233.41973876953125,132.9705047607422,45.59614944458008,-6.126937389373779,-178.15139770507812,,,,-258.3096008300781,-295.1271667480469,
-103.40430861723448,43.15,3.716643738688248,,,,,,1117.83935546875,909.3419799804688,821.2279052734375,710.5126342773438,695.498779296875,575.4437255859375,476.6339416503906,404.15740966796875,363.3199462890625,234.07363891601562,134.34539794921875,46.29732131958008,-6.4317827224731445,-181.18563842773438,,,,-261.2637939453125,-297.3783874511719,
-103.400501002004,43.15,4.026364050245602,,,,,,1118.599609375,909.510498046875,822.6161499023438,712.7467041015625,697.736328125,577.6842041015625,476.8546447753906,404.32684326171875,363.48236083984375,234.74859619140625,135.7292022705078,47.01542663574219,-6.7292962074279785,-184.1686553955078,,,,-264.1563415527344,-299.5253601074219,
-103.39669338677355,43.15,4.336084361802956,,,,,,1117.212890625,910.2040405273438,824.4120483398438,714.9130249023438,699.9066162109375,579.8577880859375,477.0448913574219,404.5000305175781,363.6521911621094,236.12815856933594,137.12664794921875,47.767173767089844,-7.004507064819336,-187.09317016601562,,,,-269.7393798828125,-303.55145263671875,
-103.39288577154309,43.15,4.64580467336031,,,,,,1111.0447998046875,912.9223022460938,828.9700927734375,718.896484375,703.912353515625,583.8826904296875,477.2061462402344,404.66693115234375,363.90130615234375,236.87106323242188,139.94757080078125,49.33441925048828,-7.515097618103027,-192.7462615966797,,,,-272.4091491699219,-305.4316101074219,
-103.38907815631262,43.15,4.9555249849176635,,,,,,1103.1212158203125,914.6302490234375,831.4275512695312,720.5127563476562,705.541015625,585.521240234375,476.9996337890625,404.60943603515625,363.76800537109375,237.39976501464844,141.14651489257812,49.95063400268555,-7.749700546264648,-195.44090270996094,,,,-274.9873046875,-307.2036437988281,
-103.38527054108216,43.15,5.265245296475018,,,,,,1094.771484375,916.3450927734375,833.78564453125,721.6937255859375,706.7255859375,586.70947265625,476.4953308105469,404.16278076171875,363.30804443359375,237.5391845703125,141.8467559814453,50.048160552978516,-7.966832160949707,-198.06719970703125,,,,-277.4844970703125,-308.88018798828125,
-103.38146292585171,43.15,5.574965608032372,,,,,,1091.5723876953125,917.7686767578125,835.7293090820312,722.5197143554688,707.5531616210938,587.536865234375,475.7613525390625,403.45953369140625,362.5876770019531,237.3126678466797,142.3419647216797,49.86730194091797,-8.14692211151123,-200.61976623535156,,,,-279.9014587402344,-310.4725341796875,
